is_top500,funding_velocity,funding_total_usd,is_otherstate,age_last_milestone_year,has_roundB,avg_participants,age_first_milestone_year,milestones,has_roundA,has_roundD,funding_rounds,relationships,has_roundC,age_last_funding_year
1,0.02361035363537327,0.0009629843145311333,1,0.22106063665968242,0,0.13333333333333336,0.36468853269094165,0.125,0,0,0.0,0.015873015873015872,0,0.337878322695322
1,0.0209683165573735,0.00034894804182955444,0,0.2674847903466034,0,0.13333333333333336,0.39049486807292794,0.25,1,0,0.0,0.07936507936507936,0,0.3399143572755918
1,0.025972078891527636,0.002629654197578276,0,0.28425643096963116,0,0.13333333333333336,0.4162317139709894,0.125,0,1,0.0,0.09523809523809523,0,0.394635210471035
0,0.02045027587850829,0.00010333353274892285,0,0.22106063665968242,0,0.06666666666666667,0.36468853269094165,0.0,0,0,0.0,0.06349206349206349,0,0.2973256847378202
0,0.021722026652931558,0.0006998259119447423,0,0.2921263221669654,0,0.0,0.42265048333796595,0.125,0,0,0.1111111111111111,0.09523809523809523,0,0.3651514906681748
1,0.02189109398258862,0.0007173698054505018,0,0.3210877742155353,0,0.06666666666666667,0.4234251623994976,0.375,1,0,0.0,0.09523809523809523,0,0.360103417629474
1,0.028313118299045884,0.009439995936834264,0,0.4788642617322596,0,0.21666666666666667,0.5749559899935143,0.125,0,0,0.5555555555555556,0.1111111111111111,1,0.6143976731033368
1,0.023505973561931393,0.002278776327463088,1,0.2526159341630273,0,0.2,0.39042537858900317,0.125,0,0,0.0,0.047619047619047616,1,0.44882281651450273
1,0.030719463485020186,0.007278789309944283,0,0.4638218514124151,0,0.2,0.46333528933362156,0.625,0,0,0.3333333333333333,0.20634920634920634,1,0.4745899652581401
1,0.024233695775562728,0.004822640885798201,0,0.5571024663620529,1,0.0,0.6255108763910765,0.375,1,0,0.2222222222222222,0.3492063492063492,0,0.5977506665589399
0,0.02140688013684057,0.0005857906041573063,1,0.28979123015171787,1,0.03333333333333334,0.4035408752586553,0.25,1,0,0.3333333333333333,0.047619047619047616,0,0.362759957986588
1,0.022174899750492576,0.0010507037820599303,0,0.39387953449625124,1,0.09999999999999999,0.45691909365123484,0.25,1,0,0.1111111111111111,0.14285714285714285,0,0.39082814898602247
1,0.0234136793959532,0.0013419324142555362,0,0.5329815969504961,0,0.33333333333333337,0.4677054057671124,0.375,1,0,0.0,0.07936507936507936,0,0.3739161347660984
1,0.03219354329118084,0.01154195209850405,0,0.47367657082270975,0,0.24444666666666665,0.570724852527873,0.125,0,1,0.2222222222222222,0.09523809523809523,0,0.5606528237860547
1,0.029384959321634548,0.0060858012182128775,0,0.37892232347966576,1,0.08333333333333333,0.4934422516651739,0.125,1,0,0.3333333333333333,0.2698412698412698,0,0.4636987961541569
0,0.024896431563125862,0.0010945635158243288,0,0.41047762098301066,0,0.0,0.5191790975632354,0.125,1,0,0.0,0.19047619047619047,0,0.32734265169265575
0,0.019739083938504307,0.00011421074672249367,1,0.22106063665968242,0,0.13333333333333336,0.36468853269094165,0.0,1,0,0.0,0.0,0,0.4335945705744526
